description,category
Loose electric wires hanging near the road. please resolve urgently.,Electric Department
"Transformer  overloaded,  making  loud  noise.",Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Garbage has not been collected for several days.,Sanitation Department
potholes filled with water after rain.,Road Department
sewage backflow in washrooms.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
Pillar has developed major cracks after rain.,Building Department
water pipes leaking heavily and flooding the area.,Water Supply Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Water supply interrupted for two days.,Water Supply Department
tap connection broken causing leakage.,Water Supply Department
Balcony railing rusted and may break. please resolve urgently.,Building Department
Uncollected garbage creating foul smell.,Sanitation Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Pillar  has  developed  major  cracks  after  rain.,Building Department
Drain overflows every time it rains.,Sanitation Department
Road divider damaged in an accident.,Road Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
open sewer line giving foul smell.,Sewerage Department
No water supply since morning.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
current pole damaged and sparking.,Electric Department
Speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.,Road Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Open sewer line giving foul smell.,Sewerage Department
Road full of potholes causing damage to vehicles.,Road Department
Structural damage visible on the outer wall.,Building Department
Underground sewerage pipe damaged.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
Pillar  has  developed  major  cracks  after  rain.,Building Department
Pipeline burst causing water wastage.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Structural damage visible on the outer wall.,Building Department
drain clogged and water stagnating.,Sanitation Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Electricity supply unstable with voltage drops. please resolve urgently.,Electric Department
Road full of potholes causing damage to vehicles.,Road Department
Low water pressure in all houses.,Water Supply Department
underground sewerage pipe damaged.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
Water supply interrupted for two days.,Water Supply Department
Drainage water overflowing in the street.,Sanitation Department
sewer line blocked causing overflow.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
electric pole leaning dangerously after storm.,Electric Department
speed breakers are not marked properly and vehicles are slipping.,Road Department
building foundation showing signs of sinking. please resolve urgently.,Building Department
Water supply interrupted for two days.,Water Supply Department
Staircase railing loose and unsafe.,Building Department
Road surface cracked and uneven.,Road Department
Pillar has developed major cracks after rain.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Current pole damaged and sparking.,Electric Department
"speed bump too high, damaging cars.",Road Department
Transformer burst causing power outage.,Electric Department
pipeline burst causing water wastage.,Water Supply Department
Pipeline burst causing water wastage.,Water Supply Department
Manhole cover broken and unsafe.,Sewerage Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
Potholes filled with water after rain.,Road Department
Water flow extremely low despite full pressure.,Water Supply Department
pipeline burst causing water wastage.,Water Supply Department
Sewage backflow in washrooms.,Sewerage Department
Garbage  has  not  been  collected  for  several  days.  please  resolve  urgently.,Sanitation Department
Waste blocking the drainage system.,Sanitation Department
Wall near staircase damaged and unstable.,Building Department
Drain overflows every time it rains.,Sanitation Department
drain overflows every time it rains.,Sanitation Department
"Transformer  overloaded,  making  loud  noise.",Electric Department
"Roadside barrier broken, safety concern.",Road Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Uncollected garbage creating foul smell.,Sanitation Department
cracks appearing on the walls of the building.,Building Department
sewer  pipeline  clogged  completely.,Sewerage Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Street lights have been off for the past week.,Electric Department
No water supply since morning.,Water Supply Department
Dirty sewer water entering shops after rain.,Sewerage Department
Sewage backflow in washrooms.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
