description,category
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Transformer burst causing short circuit and power failure.,Electric Department
"Drinking water contaminated, smells bad.",Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
Building under construction without safety barricades. please resolve this issue soon.,Building Department
The ceiling in our apartment is about to collapse. please resolve this issue soon.,Building Department
Sewer pipeline damaged causing leakages.,Sewerage Department
"drainage system clogged, water overflowing onto road. please resolve this issue soon.",Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
"Street  cleaning  not  done  for  a  week,  garbage  everywhere.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
New house construction encroaching on public property.,Building Department
waste dumped openly on roadside attracting animals.,Sanitation Department
building under construction without safety barricades. please resolve this issue soon.,Building Department
Sewer line overflowing and spreading dirty water. please resolve this issue soon.,Sewerage Department
Damaged footpath blocking safe walking area.,Road Department
"open  manhole  near  park,  dangerous  for  children.",Sewerage Department
Building under construction without safety barricades.,Building Department
Electric poles damaged due to storm.,Electric Department
Building structure showing deep cracks after heavy rain.,Building Department
The road near the hospital has large potholes.,Road Department
Road repair work incomplete for several weeks.,Road Department
Transformer burst causing short circuit and power failure.,Electric Department
New house construction encroaching on public property.,Building Department
street lights are not working in our colony.,Electric Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Open manhole near park, dangerous for children.",Sewerage Department
Holes on road making it dangerous for vehicles.,Road Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Road full of potholes, needs immediate repair.",Road Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"drinking water contaminated, smells bad.",Water Supply Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
The roof of the building is leaking during rainfall.,Building Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Low  water  pressure  in  our  area  since  yesterday.,Water Supply Department
"sewerage water mixing with rainwater, causing pollution.",Sewerage Department
"House foundation damaged, wall tilting slightly.",Building Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Sewage backflow inside homes during rainfall.,Sewerage Department
Power supply interrupted due to damaged electric pole.,Electric Department
Potholes  filled  with  water  causing  vehicle  skidding.,Road Department
Electric wires snapped and lying on the road.,Electric Department
Current fluctuation damaging home appliances.,Electric Department
Uncollected garbage making the area unhygienic.,Sanitation Department
"Plaster peeling from walls, building looks unsafe. please resolve this issue soon.",Building Department
Manhole  overflowing  with  sewage  water  on  street.,Sewerage Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Electric transformer making loud noise, possible fire risk. please resolve this issue soon.",Electric Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
"Open manhole near park, dangerous for children.",Sewerage Department
blocked sewer line needs urgent cleaning.,Sewerage Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Manhole overflowing with sewage water on street.,Sewerage Department
"Drinking water contaminated, smells bad.",Water Supply Department
The garbage truck hasn’t come for three days.,Sanitation Department
Water supply disrupted due to pump malfunction.,Water Supply Department
